,Priority,text
51,P2,term launcher debug session system process program future other do such start tracing session start session term noun result awkward session rename accessor # # package c import import import import import IAdaptable session manager set collection active debug interested session notification register session manager convenience default launcher project preference persistent property project debug plug - preference help determine launcher invoke run debug button selection workbench launcher user choose launcher implement interface class interface part interim development change stability available early stage solicit feedback understanding code @see @see public interface IAdaptable session normal non - debug mode(value run public static final run session special debug mode value debug public static final debug listener collection session effect identical listener registerd @param listener listener register void listener specify session effect identical session @param session session remove void session session process null session process @param process process find session @return session process null none process session debug target null session debug target @param target debug target find session @return session debug target null none target collection debug session manager @return array debug default launcher project null default launcher set default launcher persistent property project @param project project retrieve default launcher @return defualt launcher null none @exception error persistent property project collection operate specify mode run debug @return array mode collection @return array collection session manager @return array collection session manager @return array specified session session manager effect identical session @param session session register void session listener collection session effect identical listener registerd @param listener listener deregister void listener default launcher project persistent property @param project project set preference @param launcher launcher preference @exception error persistent property void project launcher
57,P1,class same name install first class name same name cause trouble snippet editor evaluation re - re - breakpoint re - work
58,P1,initialize debug target Most time get sign front debug breakpoint program execution reveal corresponding method stack frame workspace unable retrieve startup reproduce use debug look error following console debug mode plus front error debug model org.eclipse.jdi org.eclipse.jdi.internal.connect org.eclipse.jdi.internal.connect org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdt.debug.core org.eclipse.jdt.debug.core org.eclipse.jdt.internal.ui.launcher J9DebugLauncher.run(J9DebugLauncher.java org.eclipse.jdt.internal.ui.launcher walkback show normal .log file target get following console timeout problem null check propogate creation init debug target creation throw debug exception failure way launch report failure user require change readme note increase timeout problem 6/15/01
59,P1,dialog select current context new context current context real package default select default package project come default package interaction run package action scrapbook package name package require interaction use element handle handle post - non - breaking change fix code persist handle identifi package name problem take package method need way set intial selection dialog actual mail advice member def private null method def void input = def handle identifier run - package fragment public void packageHandle packageHandle persist try packagehandle catch e null - handle identifier run - package fragment public return method def null project= = null = return def user action public void run s= result = null private shell try p= //fix 1G472LK selection dialog qualify package source dialog= p - - = null = pf = pf = null res.length return catch e return null integrate code fix initial selection dialog address inability set initial selection
63,P1,page remove associated sure behaviour create page execute code get associated list process rename scrapbook page execute other code get new process new name old one behaviour method hook editor code terminate name change editor get synch state tool item tool bar editor
64,P2,launcher prompt element launch s only debug debug tool item select launcher select only available class second page second step necessary next button first page first time launch workspace go pain due debugger pluggable different case launcher selection generic debug support choosing class launch java specific debug support promote lazy plugin loading avoid exhaustive launchable launcher selection page poll pluggable launch page see finish current selection have defualt launcher project launcher selection page bother inactive post - consideration
68,P2,return launch boolean launch success return launch have debugger register launch client register launch have change perspective console output boolean indicating launch successful responsible successful launch launch manager propose launcher return session call # launch null launch succeed debug responsibility register session launcher responsibility client have do reduce duplication functionality
69,P3,method cause break exit line breakpoint method declaration line execution stop method artifact
76,P2,select correct element launch jkca jre issue algorithm element launch java file main method java file main method hit run launch list run algorithm leaf resource tree be check parent node see be check parent entire tree be fast correct % time correct way change java launcher do parent check way do have change debug core behaviour more user friendly fix java launcher go hierarchy target jump project look more
79,P1,variable same line 1GEBP07 view flicker inspect result same line view one own line stream
81,P2,view evaluate empty selection program breakpoint display view hit evaluation empty current behaviour have proposal prototype select entire current line empty selection @see window enhancement
83,P2,store suspend code evaluate
85,P3,debug menu relaunch last action other menu conjunction debug run history sure possible fix more desktop support action delegate 9/24/2001 more workbench support wish list
90,P2,debug perspective top toolbar display create list same new menu pull
91,P1,error debugger start indication start believe apply system include libdt_socket.so transport dt_socket;addesss= eclipse debugger application process dialog several timeout dialog connect give indication wrong command eclipse start xterm console error message output load create virtual machine error message eclipse user indication eclipse connect
92,P1,line start center source editor have case breakpoint hit editor scroll current line center screen stack frame current line center current method source editor current line top screen disconcerting let user see have come find need scroll little bit stepping step slow code old debugger more important non - critical annoying single line code debugger scroll go center have scroll current line visible user new current line visible scroll
93,P1,pop dos console write world example launch observe do console program debug get dos console j9.exe use javaw launch program do box analog criticial ship make request
94,P2,evaluation error breakpoint uncaught code program illegal index access select method execution stack display view evaluate give correct output exception code import public class private public static void args new public new public void return top stack frame binary type stack frame source type get same error stack frame evaluation constant sure problem come stack frame evaluation need find stack frame top one good guess class bootstrapclassloader classloader consequence code snippet use stack frame code top one stack frame selection quick look code get stack frame top stack frame stack frame one evaluation problem able perform loader find snippet class
98,P3,evaluation inspect
100,P3,selection debugger thread go editor type method have reselect stack frame instruction pointer issue
101,P1,toolbar disable breakpoint toolbar debug menu stack frame stack critical reselecting problem happen problem debug re - work
106,P1,appear eval eval scrapbook debugger package org.eclipse.jdt.internal.eval.target workspace home do clean remove package target fix be have snippet support change class be default package nasty side effect project defualt source binary folder config project root new package evaluation package show repository problem surface self world package output directory potential fix have debugger delete package be package empty fix
107,P2,debug process view view terminate process debug launch launch update show show debug view problem problem linux out box
111,P2,new new page use toolbar package button have run evaluate new get exception evaluation put package project guess let shadow old evaluation support past application run evaluate new duplicate problem package occur
112,P2,launch choice launcher first launch class get dialog choice launcher skip part choice apply part select class press run possible choice class default launcher launch element asyn exec update page entry use message update be selection page entry
113,P1,debug element selection debug view select debug target debug pulldown menu select wizard valid wizard select non - debug element 6/15/01
117,P2,package scrapbook package project delete workspace delete view view reproduce problem debugger output location project overlap source area
120,P2,clean temp scrapbook page run dozen keep page create more more forder .class file folder same folder .jpage user specify run package delete temp self get time try use page page useless terminate page org dir suggest
123,P2,failure notification display resolve expression client usual print result display printing resolve way explicit return value debugger display window enter highlight display explicit return value nonexistant variable name highlight display
125,P1,line break point class run have thread debugger other .java text .java editor other file line .java do do much field name be run line action thread run right editor state debugger context critical contextmenu do editor snippet evaluation
130,P3,improvement possible determine current thread standard
132,P1,total redraw debug view breakpoint breakpoint new line timeout debug view time entire debug view blank public class public static void main args new public return flash problem believe problem widget limitation
133,P4,menu work menu work debug perspective program put debug perspective switch java perspective most menu debug menu debug perspective do step java perspective debug menu click menu
137,P1,prompt source source attachment assume jre_lib c:\xxxx\rt.jar JRE_SRC empty create project entry JRE_LIB set jre_src create project entry c:\yyyyy\rt.jar create class project main set breakpoint debug step source attachment wizard jre_src a project edit source attachment variable entry get classfile open editor problem wizard appear context project rt.jar c:\yyyyy\rt.jar source attachment be trouble problem source attachment wizard library entry c:\yyyy\rt.jar email be problem parent project get workspace s hard reproduce know s state discussion move
138,P2,attachment wizard form variable set step class source attachment wizard . change source attchment helpful have go page set . suggest show wizard variable entry . user change value variable .
140,P2,feature painful compiler not print s have nice help debugger show debugger nt compiler painful
142,P1,frame invoke default package breakpoint foo debug debugger select stack frame foo frame cursor first line foo stack frame bar frame thread drop frame action change interface claim stop be refection call reason case breakpoint foo normal run return normal behaviour hit main public static void args clazz bar work debugger program one invocation bar one invocation file look trace first command same testclass test trace test top one reflect one test show think case have one command more event case last reflect event case last test test case breakpoint bar Hit breakpoint remove breakpoint drop invoke frame end main drop frame action disabled invoke main attempt look debugger source talk code debugger drop current frame native native int int i= f= return false true find debugger restriction email native original test case work
143,P4,use memory transport memory transport give improved debugger performance promising GPFd init transport native method transport dt_shmem;address=8000 warning property java.compiler ignor memory -1 initialize -1 native method transp ort dt_shmem;address=8000 initialize native method transport work beta ship support memory transport play do compare socket transport
145,P1,exception way indicate scope stop exception uncaught scope be interested exception uncaught jdtcore platform point be notion search scope sense user scope more purpose make more appealing interesting idea step filtering idea worry come class do show request allow exclusion filter debugger code be exception lot particular function do have control handy have exclusion list available exception
146,P1,method following source = = = = = = = = = = = = = = = = = = = public class public static void args public void loop(int i true I i++ try catch e public class public static void args public void loop(int i true I i++ try catch e = = = = = = = = = = = = = = = = = = = put method declaration breakpoint main
149,P3,evaluate jar apply order be able evaluate inside inside jar jar get java.lang sure do
150,P2,launcher plan keep layout perspective d launcher unsure need support debug context know display
153,P1,kill scenario jdtcore breakpoint stream hit breakpoint new project empty workspace evaluate expression first occurrence method debugger have stack interact other debugger entire reproduce
154,P4,hitcount inconsistency breakpoint hitcount line console reset hitcount more loop occur breakpoint hit hitcount expired breakpoint console reset hitcount more iteration occur count count same refactoring universe fix generate new request everytime breakpoint more complicated keep record target breakpoint figure marker hit count request hit count solve problem setting hit count same value fix require creation new breakpoint change mechanism pass code
155,P1,handling step event breakpoint hit step step event breakpoint breakpoint step model more work necessary process step event
157,P1,suite deadlock deadlock test run perspective plugin startup active launch sync exec debug
158,P2,make seperate plugin seperate plugin
159,P1,variable instance intent event reflect current state inspect item correct state reproduce self host put breakpoint self host debug program breakpoint hit inspect repeat notice listener list grow addition
166,P2,incorrect stack frame setup set breakpoint run modify method rebuild debugger method entry public static void main args suite simple test case main method class problem receive notification method do know method method stack thing do unfortunate current current behavior be do do method delta get old class file local history revert current behaviour alternate suggestion change default behavior drop top stack frame bottom warn user more stack option drop more intuition be common case drop top frame be way go class local history want bloat local history class idea be able find user method context debugger frame drop modified method resource auto build notify target detailed determine drop be ignore shape further exploration do give fine information method 9/24/2001 info present provide add remove info info be determine stack drop
167,P3,scope org.eclipse.swt.layout first statement int appear disappear view code appear first nested loop row loop column expect visible first statement least first method 08/29/01 think due way byte clarification
168,P2,set exception breakpoint console get error get trace good able select class right click add breakpoint re - run execution exception
169,P2,program debug run button toolbar helpful history program history entry new program select elemnt choose debug guess relaunch be store selection launcher be be read program be launch history element element launcher pair reproduce build case program program testing history run args testing program public class public static void args program email workspace more return necessary one be test workspace strange classpath correct set help do guess think remove sharing discussion
170,P1,conditional support conditional concept valid line method entry easy get conditional simple simple variable equality checking function case fail evaluation user error failure evaluation engine suspend breakpoint pop dialog user evaluation condition disable breakpoint
172,P2,support process thread specific request flavor conditional support user constrain breakpoint particular process thread useful multi - thread multi - process debugging same code
173,P2,specific launcher many different case consequence menu get large tedious select particular launcher investigate support filter set available perspective example perspective need have access launcher
175,P1,stream hosting setup man icon program args args workbench launch history work first one program args second duplicate email more in workspace follow test case launch stream work main first launch -classpath main second launch menu arg -classpath detailed test case official new location plug - in eclipse plug - have create first dev stream use have start see bug code new empty workspace self - host setup program Re - launch man menu assume do introduction launch
176,P2,window enhancement following behavior window go next line result user button have text highlight entire line cursor display think switch shortcut menu d display I inspect shortcut ctrl+d display ctrl+i inspect usability improvement make display view evaluation consistent snippet editor ctrl+d ctrl+i menu popup menu ctrl+d I snippet editor have duplicate n i snippet editor context menu inspect ctrl+q snippet editor ctrl+i indent trouble work display run do clash other hold select line cursor support snippet editor add feature display view work support code assist friendly content reuse code snippet editor java editor display view evaluation support attempt complete content assist present extra context information successful code assist example code assist eq show select choice get hover help object do get auto line
177,P1,pattern need functionallity stream
178,P1,target target host window next window order F10 relaunch suspect debugger issue
181,P3,option step filter synthetic appear support need fake client step into synthetic method debugger keep step get non - synthetic method question step return debugger keep step synthetic method step step over method into synthetic one investigate regular step filtering situation class method b class b class method c class breakpoint call b step such breakpoint step step over suspend c experiment guide handle filter synthetic answer straightforward implement client answer think logic over into return suspend location synthetic method filter do get behavior into into return step into result step over want add ability filter into static be similar filter synthetic consider option filter refactoring step handling
182,P2,multiprocessor suite little printfing show test connect problem be try connect previous restore connection finish timeout testsuite above true analysis hang handshake virtual machine reconnect problem have handshake timeout public class public static final int class public void run try serverSocket= new true serverSocket.accept catch e public name public static void args new public void new public void run try t.stop catch e public void new reader try manager = = = connector = arg = try vm= catch e false catch e false t.stop clean proxy hang real bug code timeout handshake other side sick
185,P2,presentation consistency popup menu edit menu workbench popup menu edit menu workbench same have run debug context snippet usage run code less useful run code need inspect result consistent have same add edit menu
186,P2,code current way view action work way set initial state contributred action workaround listen first set state action business problem available see new infrastructure leverage same similar problem have static final do persist state static final set initial state action delegate action presentation way initialize feature request workbench state
187,P2,have control perspective switching have launcher test run current perspective perspective switch preference test run launcher user debug perspective view perspective junit launcher override preference junit launcher contribute own switching preference launcher query preference create view target perspective switch preference support switch debug perspective part launch cofiguration make sense sensible default
189,P1,work attach launch following transport y;suspend y;address=8001 disconnect debug target native method ref abnormal program termination vms build native symcjit
191,P3,state change 1GKKT90 have consider context menu context menu main issue multi - select behavior see separate disable enable
192,P2,opening jkca code open editor take multipage consideration customer want do open editor source page breakpoint hit want do other infrastructure support code editor marker indicate current line number editor null null false try editor catch e editor null charStart //have editor starting character charStart call call call change put responsibility support team solve problem believe have take argument indicate page editor open have ensure do create activate multipage editor other hand have facility open editor marker implementation enough allow decide page want show multipage editor activate other have unable determine creation multipage creation activation current page call marker resource @see boolean handle class file story
193,P2,jkca isomorphic relationship debug model list relationship presentation responsible user source want use different method debugging presentation support representation information language end end debug debug information
194,P1,modification test suite get error trace jdi internal jdi internal jdi internal jdi bench jdi bench TestCase;)V jdi bench jdi bench method vector
197,P2,code assist display view source context binary source code assist see good way do current support implementation
198,P2,split debug action set debug launch menu appear m perspective valid observation want have perspective execution control useful split
199,P1,scroll current line top page hit breakpoint return step source editor current line inexplicable reason editor current line top visible line know framework scrolling user want see well need available visible space show show debugger framework work thing problem see make source necessary user loop visible editor need scroll user sequential code need scroll step bottom screen point scroll current line way screen reset position put current line user breakpoint method stack frame scroll least implement behavior debugger primitive primitive current debugger scrolling behavior vast improvement ideal behavior be hard implement context framework give go code text viewer scroll investigation fix close old one line start center source editor look code old debugger have problem solution hack force scroll center page step work framework problem make step code bit wierd be center screen step much much top step peek old debugger code help figure framework problem 9/24/2001 one unintended coincidental different text control revealing implement own reveal method
200,P2,test suite use workbench framework 9/20/2001 framework use workbench framework hold consolidated testing framework
201,P1,buffer size 9/24/2001 need implement console buffer size preference number console output store preference appear console preference page number default size stream - mail week debugger console feature such specify maximum amount output console display threshold future console result loss text manner good find way keep date ver difficult investigation previous implementation risky text story explain whiteboard widget collection relevant widget multiple resident system moment reference new widget mundane text while different old reference set null old rely widget take care fact old copy maintain have copy large amount code undesirable number least overall quality code base offer advice manage problem
202,P2,busy cursor long operation primitive type rendering case breakpoint partition array turn primitive type display page return debugger non - responsive re - render busy cursor following code public class public static void byte new byte int i= b.length byte)i public static void args 9/24/2001 sure good solution need busy cursor render 9/24/2001 make sure have visible be occur world
203,P1,compilation error frame type breakpoint method method4 breakpoint hit remove quote println syntax error syntax error debugger drop frame compilation type compilation attempt re - load drop re - load successful
206,P2,close denote different denote breakpoint close need grey blue lead common check use pattern change addition color color only difference problem accessability debugger provide marker message more information breakpoint editor support define message attribute marker
208,P1,debugger step action - - open selection step frame top one core dump dev default = = = = = = = = = = = = = = = = = = = = = = = = = = = code address FS:0038 1.3.0 build - D:\eclipse\sdk\eclipse\jre\bin\javaw.exe -classpath = transport = dt_socket;address = localhost:13448 = = transport = dt_socket;address = localhost:13448 state native 0x0000:0x00000000 error host name - x86 - - - = = = PHILIPPETP = = IBM_JAVA_COMMAND_LINE = d:\eclipse\sdk\eclipse\jre\bin\javaw.exe -classpath = transport = dt_socket;address = localhost:13448 = = philippe = = = PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH = x86 = x86 = = = = = = PHILIPPETP = = = D:\eclipse\sdk\eclipse\jre\bin\javaw.exe C:\WINNT\system32\KERNEL32.DLL D:\eclipse\sdk\eclipse\jre\bin\xhpi.dll C:\WINNT\System32\WINMM.dll 0x3c000 D:\eclipse\sdk\eclipse\jre\bin\java.dll 0x42000 C:\WINNT\System32\LOCWIN32.DLL C:\WINNT\System32\NWSRVLOC.dll 0x24000 C:\WINNT\System32\SECUR32.DLL C:\WINNT\System32\SETUPAPI.DLL C:\WINNT\System32\TAPI32.DLL 0x77c70000 C:\WINNT\System32\rasadhlp.dll C:\WINNT\system32\msafd.dll 0x3c000 - - sys_thread_t:0x121b6d80 state native prio=1 0x00000001 indexing org.eclipse.jdt.internal.core.search.indexing sys_thread_t:0x11dbc350 state native 0x125cfd00 0x00000001 TID:0x8e85a8 sys_thread_t:0x8a8ee0 state native 0x114efe88 C:\WINNT\system32\msafd.dll 0x114efed0 0x000001f4 sys_thread_t:0x8a7bd0 state native 0x114afed0 0x00000001 state native 0x0000:0x00000000 sys_thread_t:0x82f630 state native 0x00000001 state native 0x00000001 state native 0x0ceaffb4 0x0ceaffec main state native String.java:211 org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.codeassist org.eclipse.jdt.internal.codeassist org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core Display.readAndDispatch(Display.java:1092 step line constructor public value = value.length = new core dump count
209,P2,breakpoint editor ruler need have standard breakpoint breakpoint ruler go view modify framework support action set marker type get property sheet work breakpoint editor property sheet track workbench page selection editor fire slection event breakpoint selection fire text appear sort generic selection event firing mechanism email advice change allow breakpoint ruler response code
211,P1,filter static like have option step static similar synthetic
212,P1,set scrapbook package package prereq project new project add project org.eclipse.ui class path new scrapbook page hit button do show evaluate new false true).match(ab get compile package visibility create scrapbook dummy project modify org.eclipse.ui org.eclipse.ui show do external
213,P1,class file debugger window notification dialog appear problem hot code replace take effect hot code replace bug frame
214,P2,hit count reflect new state able leaverage support remove implementation hitcount breakpoint request tell real hit count change check delta marker
215,P2,context menu toolbar scrapbook page appear context menu order inconsistent context menu toolbar toolbar menu
217,P2,have accelerator action seem have accelerator least do visible tooltip
218,P1,snippet temporary file create snippet perspective + save display content snippet + open perspective see process snippet switch perspective display + editor temporary file openne show marker snippet breakpoint believe have snippet editor package self reproduce problem target self 202a host show marker debug content provider event launch state turn debug perspective suspend event snippet breakpoint top stack frame openning marker stack frame source code problem have source environment problem area remove workspace temp solution
219,P2,primitive array implement need method supply pretty printer primitive extend allow client pretty arbitrary first pass supply primitive array pretty
221,P1,work save snippet editor add snippet save action edit menu workbench
222,P2,property sheet breakpoint enabled breakpoint view appear property sheet pop up menu disable breakpoint property sheet update enable true easy answer think correct answer have register change fire selection event state change cause property sheet get new selection update own page property sheet have listen update appropriate
223,P1,breakpoint time see behavior debug mode place breakpoint code press ctrl - pause following dump able resume see breakpoint target 1.3.0 build - -verify -verify -cp -application -data -consoleLog = state native 0x00000000 RtlIsNameLegalDOS8Dot3 error host name - x86 - - - = = = PHILIPPETP = = = = philippe = = = PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH = x86 = x86 = = = = = = PHILIPPETP = = = -verify -verify -cp -application -data -consolelog D:\eclipse\sdk\eclipse\jre\bin\java.exe C:\WINNT\system32\KERNEL32.DLL D:\eclipse\sdk\eclipse\jre\bin\xhpi.dll C:\WINNT\System32\WINMM.dll D:\eclipse\sdk\eclipse\jre\bin\java.dll - - 0x77c70000 C:\WINNT\System32\msimg32.dll 0x42000 C:\WINNT\System32\LOCWIN32.DLL C:\WINNT\System32\NWSRVLOC.dll 0x24000 C:\WINNT\System32\SECUR32.DLL C:\WINNT\System32\SETUPAPI.DLL C:\WINNT\System32\TAPI32.DLL C:\WINNT\System32\rasadhlp.dll C:\WINNT\system32\msafd.dll sys_thread_t:0x131ca900 state native prio=1 0x00000001 org.eclipse.jdt.debug sys_thread_t:0x141b7c30 state native org.eclipse.jdi.internal.connect org.eclipse.jdi.internal.connect org.eclipse.jdi.internal org.eclipse.jdi.internal.event org.eclipse.jdi.internal.event EventDispatcher.run(EventDispatcher.java:144 0x1563fb9c 0x00000001 state native org.eclipse.jdi.internal.connect org.eclipse.jdi.internal.connect 0x155ffcd4 0x00000001 state native org.eclipse.jdi.internal.connect org.eclipse.jdi.internal.connect 0x155bfd24 0x155bfe38 0x716542fe 0x155bfe64 0x155bfea4 0x007e0c94 0x0000:0x00000000 sys_thread_t:0x1413b1c8 state native 0x71686508 0x0000:0x00000000 TID:0x5275a28 state native OutputStreamMonitor$1.run(OutputStreamMonitor.java:53 0x00000001 sys_thread_t:0x1413a8e0 state native 0x00000001 sys_thread_t:0x1353e540 state native 0x77e8758a state native 0x14140110 0x71686508 0x0000:0x00000000 sys_thread_t:0x131bc900 state native OutputStreamMonitor$1.run(OutputStreamMonitor.java:53 0x00000001 sys_thread_t:0x1353b910 state native 0x00000001 sys_thread_t:0x1353cc78 state native 0x153bffb4 0x77e8758a indexing org.eclipse.jdt.internal.core.search.indexing sys_thread_t:0x11dc1f90 state native 0x00000001 sys_thread_t:0x86cb88 state native 0x00000001 sys_thread_t:0x83b900 state native 0x00000001 state native 0x71680730 RtlIsNameLegalDOS8Dot3 0x04588b53 0x0824448b 0x0000:0x00000000 main state native VerticalRuler.doPaint(VerticalRuler.java:293 VerticalRuler$1.paintControl(VerticalRuler.java:129 0x11b49180 see thread breakpoint
224,P1,style range quick output case first line output black console style document content console document visible viewer console code bug exist
225,P1,console set console maximum output size run program program place cursor console type conosle public class public static void args true workbench execute runnable dialog free error
226,P1,project setup jar source scrapbook exception do same evaluation source junit problem happen junit java.security java.security ClassLoader.loadClass(ClassLoader.java:257 org.eclipse.jdt.internal.ui.snippeteditor org.eclipse.jdt.internal.ui.snippeteditor org.eclipse.jdt.internal.ui.snippeteditor classpath scrapbook class loader output location project
227,P1,breakpoint property sheet property sheet change uncaught exception breakpoint dispose trace I)V internal core internal runtime core runtime core runtime core runtime internal internal internal internal internal internal internal MouseEvent;)V internal internal core internal boot net core boot net core core core disposed workbench fix
228,P1,debug smoke test stream launch debug target execution stack dump console org.eclipse.core.internal.runtime breakpoint property sheet
229,P1,name Action2 put breakpoint line hit breakpoint Action2 public class public static void args action2 a= new Action2 public class Action2 public Action2 breakpoint classload event check see classload reference type breakpoint class reference type type exact match maintain inner class functionality
231,P2,debug model shutdown debug model plugin shutdown debug target shutdown event dispatcher temporary do complete cleanup call terminate0
232,P1,error breakpoint 10/10/01 breakpoint loop breakpoint use property sheet change false notice workbench walkback org.eclipse.core.internal.runtime 10/10/01 occur time editable widget focus property sheet other object workbench property sheet 10/10/01 crash
235,P2,button disable add button step filtering be text text area
236,P2,context menu item synch step context menu item stay synch preference preference dialog cause problem
238,P1,low change variable value text box text place text box value variable view low sizable margin top text box top text such bottom half text
239,P1,view empty stack frame program let old debug view program breakpoint such stack frame have few display view stack frame view select debug view stack frame old view empty user reselect stack frame force view update
240,P1,count re - public class private string = foo int counter = public static void args new public void loop int = true string i++ counter++ try catch e access watchpoint string modification watchpoint counter hit hit second watchpoint hit set hit count access watchpoint string hit modification watchpoint counter
241,P1,launch deletion launch history item junit project workspace relaunch last F10 case
248,P2,pop entry d love able right click project import drop down menu go menu useful
250,P2,de dependant editor focus tool bar apply disabled editor focus editor view disabled editor dependant current workbench activation policy
